Date,treatment,MedImmune,Covid,research,drug,AstraZeneca
2017-01-01,75,0,0.0,45,81,26
2017-01-02,79,0,0.0,60,77,38
2017-01-03,96,0,0.0,77,83,79
2017-01-04,94,52,0.0,82,90,99
2017-01-05,97,26,0.0,83,91,100
2017-01-06,88,27,0.0,73,84,86
2017-01-07,84,0,0.0,55,69,37
2017-01-08,83,28,0.0,59,74,27
2017-01-09,91,50,0.0,84,86,56
2017-01-10,91,100,0.0,89,85,88
2017-01-11,88,73,0.0,90,87,97
2017-01-12,96,25,0.0,88,90,88
2017-01-13,87,26,0.0,77,86,93
2017-01-14,83,0,0.0,55,75,27
2017-01-15,84,0,0.0,61,74,31
2017-01-16,88,0,0.0,83,91,83
2017-01-17,98,0,0.0,95,89,90
2017-01-18,98,0,0.0,93,94,66
2017-01-19,94,0,86.0,92,97,99
2017-01-20,88,26,0.0,83,97,82
2017-01-21,85,28,0.0,57,79,41
2017-01-22,88,0,0.0,68,84,18
2017-01-23,100,98,0.0,100,95,66
2017-01-24,97,25,0.0,99,100,91
2017-01-25,92,0,0.0,97,91,98
2017-01-26,93,50,0.0,89,94,63
2017-01-27,91,77,0.0,89,86,86
2017-01-28,83,0,100.0,56,78,50
2017-01-29,87,0,0.0,67,74,35
2017-01-30,95,49,0.0,100,90,93
2017-01-31,99,0,0.0,100,99,89
2017-02-01,94,50,0.0,98,100,65
2017-02-02,94,52,100.0,92,92,92
2017-02-03,89,53,0.0,78,89,63
2017-02-04,82,0,0.0,62,81,24
2017-02-05,84,0,0.0,61,78,34
2017-02-06,88,76,99.0,88,90,63
2017-02-07,94,25,0.0,95,95,74
2017-02-08,94,76,0.0,100,96,90
2017-02-09,89,51,0.0,91,93,67
2017-02-10,88,54,0.0,80,89,51
2017-02-11,80,29,0.0,54,81,21
2017-02-12,79,29,0.0,65,79,24
2017-02-13,90,75,0.0,90,93,53
2017-02-14,86,51,0.0,89,95,100
2017-02-15,95,51,0.0,89,96,42
2017-02-16,95,51,0.0,92,99,100
2017-02-17,88,51,0.0,81,95,66
2017-02-18,88,0,0.0,58,77,28
2017-02-19,84,87,0.0,62,80,24
2017-02-20,95,51,0.0,86,92,76
2017-02-21,98,0,0.0,93,99,80
2017-02-22,100,0,98.0,93,95,69
2017-02-23,93,52,0.0,91,93,89
2017-02-24,88,27,0.0,75,94,50
2017-02-25,84,0,0.0,61,78,24
2017-02-26,84,0,0.0,71,82,34
2017-02-27,95,25,0.0,96,100,70
2017-02-28,98,100,0.0,98,96,83
2017-03-01,89,79,0.0,95,89,62
2017-03-02,90,20,0.0,96,98,72
2017-03-03,87,21,0.0,80,93,84
2017-03-04,80,23,0.0,56,77,21
2017-03-05,84,46,0.0,70,74,27
2017-03-06,95,100,0.0,96,93,60
2017-03-07,94,20,83.0,96,97,69
2017-03-08,100,41,88.0,100,96,35
2017-03-09,91,41,0.0,94,93,61
2017-03-10,91,22,0.0,82,83,56
2017-03-11,76,24,100.0,57,71,31
2017-03-12,81,23,0.0,65,78,23
2017-03-13,91,77,0.0,95,93,73
2017-03-14,91,21,0.0,89,87,69
2017-03-15,92,21,0.0,88,90,69
2017-03-16,91,84,0.0,95,91,60
2017-03-17,90,22,0.0,79,84,100
2017-03-18,79,0,0.0,62,75,31
2017-03-19,87,47,0.0,64,80,24
2017-03-20,98,41,0.0,93,92,67
2017-03-21,98,82,0.0,99,100,61
2017-03-22,93,41,0.0,92,100,70
2017-03-23,97,42,0.0,96,91,60
2017-03-24,86,21,0.0,83,93,67
2017-03-25,80,0,0.0,61,75,25
2017-03-26,94,0,0.0,65,80,16
2017-03-27,94,21,88.0,94,92,75
2017-03-28,99,84,0.0,99,98,52
2017-03-29,96,21,89.0,95,96,49
2017-03-30,94,21,0.0,96,95,38
2017-03-31,85,44,0.0,77,91,76
2017-04-01,82,0,0.0,61,78,52
2017-04-02,83,0,0.0,68,77,40
2017-04-03,96,24,0.0,95,86,65
2017-04-04,94,74,0.0,100,96,100
2017-04-05,96,0,0.0,98,92,69
2017-04-06,93,100,0.0,92,90,70
2017-04-07,90,0,100.0,85,83,72
2017-04-08,86,57,0.0,60,71,28
2017-04-09,86,0,0.0,66,69,24
2017-04-10,96,100,0.0,95,96,80
2017-04-11,100,25,0.0,95,96,84
2017-04-12,93,0,0.0,93,96,77
2017-04-13,91,52,0.0,84,96,91
2017-04-14,86,56,0.0,67,95,51
2017-04-15,83,30,0.0,53,77,17
2017-04-16,77,0,0.0,58,79,53
2017-04-17,94,25,0.0,87,89,25
2017-04-18,96,48,0.0,95,86,74
2017-04-19,94,48,0.0,91,94,67
2017-04-20,97,25,0.0,92,99,91
2017-04-21,90,52,0.0,87,96,58
2017-04-22,82,28,0.0,61,72,32
2017-04-23,84,0,0.0,68,78,35
2017-04-24,99,48,0.0,100,100,81
2017-04-25,96,74,0.0,96,96,86
2017-04-26,91,72,0.0,93,95,71
2017-04-27,92,49,0.0,96,97,79
2017-04-28,89,51,0.0,79,88,82
2017-04-29,82,0,0.0,59,79,12
2017-04-30,80,29,0.0,64,82,32
2017-05-01,98,21,,97,98,39
2017-05-02,100,80,,98,95,56
2017-05-03,91,20,,92,94,71
2017-05-04,91,100,,91,97,42
2017-05-05,90,41,,88,90,55
2017-05-06,82,23,,65,87,29
2017-05-07,80,0,,66,76,19
2017-05-08,97,20,,97,92,69
2017-05-09,100,40,,100,98,80
2017-05-10,93,20,,94,89,72
2017-05-11,88,20,,96,96,71
2017-05-12,89,42,,81,93,100
2017-05-13,77,23,,59,78,36
2017-05-14,79,0,,61,76,20
2017-05-15,91,42,,89,94,94
2017-05-16,96,0,,87,97,69
2017-05-17,89,64,,85,100,63
2017-05-18,90,64,,82,97,69
2017-05-19,87,22,,73,91,53
2017-05-20,82,0,,53,80,46
2017-05-21,81,0,,54,80,21
2017-05-22,96,43,,89,94,85
2017-05-23,97,21,,88,95,50
2017-05-24,93,43,,86,86,63
2017-05-25,89,44,,79,99,46
2017-05-26,83,46,,65,81,42
2017-05-27,83,0,,48,79,11
2017-05-28,84,0,,47,74,25
2017-05-29,84,22,,66,77,25
2017-05-30,93,42,,76,94,68
2017-05-31,90,41,,76,88,49
2017-06-01,90,52,0.0,85,95,69
2017-06-02,83,54,0.0,81,88,30
2017-06-03,80,0,0.0,56,76,25
2017-06-04,80,0,0.0,59,83,49
2017-06-05,92,0,100.0,84,95,56
2017-06-06,95,25,0.0,93,94,82
2017-06-07,100,25,0.0,94,90,100
2017-06-08,94,75,0.0,90,92,80
2017-06-09,83,0,0.0,84,93,51
2017-06-10,82,0,0.0,61,79,42
2017-06-11,86,0,0.0,60,80,33
2017-06-12,98,25,0.0,94,90,87
2017-06-13,96,0,0.0,94,90,55
2017-06-14,96,25,0.0,98,95,38
2017-06-15,92,0,0.0,88,92,69
2017-06-16,92,26,0.0,86,90,91
2017-06-17,86,0,0.0,60,78,21
2017-06-18,86,0,0.0,63,79,50
2017-06-19,93,100,98.0,92,93,76
2017-06-20,97,73,0.0,100,95,60
2017-06-21,95,0,0.0,94,93,64
2017-06-22,94,49,0.0,95,100,92
2017-06-23,91,77,0.0,80,91,57
2017-06-24,85,0,0.0,59,84,37
2017-06-25,86,0,0.0,55,78,33
2017-06-26,90,26,0.0,86,92,93
2017-06-27,97,79,0.0,90,93,69
2017-06-28,91,26,0.0,88,92,90
2017-06-29,95,0,0.0,85,90,84
2017-06-30,84,0,0.0,75,91,92
2017-07-01,79,0,58.0,58,88,8
2017-07-02,83,30,0.0,68,79,6
2017-07-03,88,0,0.0,81,84,21
2017-07-04,89,26,0.0,79,79,27
2017-07-05,100,26,0.0,92,89,14
2017-07-06,98,79,0.0,90,95,17
2017-07-07,90,27,53.0,85,91,23
2017-07-08,87,0,0.0,60,79,9
2017-07-09,93,30,58.0,67,80,6
2017-07-10,100,0,0.0,94,95,24
2017-07-11,97,51,100.0,93,93,19
2017-07-12,94,25,0.0,100,90,30
2017-07-13,93,77,0.0,93,95,37
2017-07-14,94,0,0.0,88,96,36
2017-07-15,86,0,0.0,63,84,8
2017-07-16,88,0,0.0,65,82,10
2017-07-17,94,51,0.0,93,89,27
