Date,bank,capital,Barclays,banking,business,London
2017-01-01,54,57,63,46,47,100
2017-01-02,93,77,82,95,62,84
2017-01-03,100,90,100,100,83,86
2017-01-04,96,93,89,94,89,86
2017-01-05,93,89,92,92,90,86
2017-01-06,91,86,82,89,78,86
2017-01-07,70,70,64,71,56,86
2017-01-08,52,65,48,49,61,94
2017-01-09,89,91,78,89,88,98
2017-01-10,88,94,74,85,92,85
2017-01-11,84,94,70,80,92,85
2017-01-12,86,91,73,81,94,95
2017-01-13,90,90,77,79,80,89
2017-01-14,64,72,85,53,58,83
2017-01-15,52,70,79,44,62,89
2017-01-16,85,90,81,78,88,86
2017-01-17,89,92,73,73,96,83
2017-01-18,84,94,62,73,98,81
2017-01-19,83,92,66,72,95,83
2017-01-20,84,92,70,77,82,82
2017-01-21,67,69,83,61,57,82
2017-01-22,49,70,70,44,61,84
2017-01-23,85,94,74,74,92,85
2017-01-24,83,100,75,75,95,80
2017-01-25,83,92,70,77,93,83
2017-01-26,74,90,72,62,86,84
2017-01-27,90,92,84,83,85,80
2017-01-28,64,67,63,58,60,84
2017-01-29,50,67,51,44,65,88
2017-01-30,90,92,84,85,95,83
2017-01-31,93,99,97,96,100,86
2017-02-01,94,96,94,100,95,95
2017-02-02,95,93,87,94,96,92
2017-02-03,96,93,87,89,85,94
2017-02-04,76,73,91,76,61,95
2017-02-05,56,63,75,50,63,98
2017-02-06,93,88,85,90,90,92
2017-02-07,87,97,79,90,100,92
2017-02-08,88,94,77,84,93,97
2017-02-09,86,90,83,82,94,93
2017-02-10,91,93,79,84,83,89
2017-02-11,65,70,92,60,58,89
2017-02-12,55,66,68,47,62,95
2017-02-13,90,94,87,82,90,93
2017-02-14,88,95,71,81,90,89
2017-02-15,89,96,78,85,93,89
2017-02-16,89,95,74,82,96,94
2017-02-17,91,92,73,81,86,93
2017-02-18,72,71,65,64,60,93
2017-02-19,54,68,52,48,65,99
2017-02-20,89,92,78,84,93,100
2017-02-21,91,97,76,78,100,94
2017-02-22,91,100,73,80,99,97
2017-02-23,89,98,87,81,92,95
2017-02-24,87,97,85,80,83,93
2017-02-25,68,72,100,61,61,93
2017-02-26,53,74,69,46,67,96
2017-02-27,96,94,100,87,98,95
2017-02-28,100,94,96,94,97,93
2017-03-01,94,99,95,89,96,37
2017-03-02,94,96,90,83,94,38
2017-03-03,94,100,89,80,85,39
2017-03-04,71,70,91,65,58,38
2017-03-05,54,70,75,47,66,42
2017-03-06,93,99,91,83,99,40
2017-03-07,87,99,79,77,99,40
2017-03-08,87,99,83,76,97,38
2017-03-09,87,97,79,77,95,37
2017-03-10,90,94,92,77,87,38
2017-03-11,65,73,73,52,59,37
2017-03-12,49,72,63,41,63,39
2017-03-13,80,100,90,64,96,38
2017-03-14,84,97,79,73,99,38
2017-03-15,88,99,75,76,95,38
2017-03-16,88,96,78,73,93,37
2017-03-17,87,91,82,71,81,38
2017-03-18,64,73,75,59,60,39
2017-03-19,51,68,78,42,62,40
2017-03-20,85,97,90,75,100,41
