Date,homes,site,property,building,Barratt Developments,developments
2017-01-01,82,71,60,56,0,29
2017-01-02,92,90,74,63,26,64
2017-01-03,89,90,89,81,51,65
2017-01-04,89,90,96,87,0,85
2017-01-05,86,89,98,87,26,81
2017-01-06,82,87,84,78,27,71
2017-01-07,90,79,71,63,28,47
2017-01-08,96,82,70,65,0,42
2017-01-09,87,93,92,97,25,81
2017-01-10,80,92,95,92,0,83
2017-01-11,80,94,93,90,0,79
2017-01-12,83,93,91,91,100,78
2017-01-13,80,88,87,82,51,62
2017-01-14,89,82,65,65,28,43
2017-01-15,99,85,74,65,0,96
2017-01-16,92,92,90,84,25,85
2017-01-17,85,98,97,93,48,89
2017-01-18,84,100,94,94,48,66
2017-01-19,84,93,96,100,0,81
2017-01-20,81,94,83,92,25,60
2017-01-21,88,84,74,66,28,56
2017-01-22,100,87,76,68,55,54
2017-01-23,93,93,98,94,48,79
2017-01-24,89,98,100,91,24,100
2017-01-25,85,95,94,97,0,77
2017-01-26,83,96,94,94,0,59
2017-01-27,82,97,92,87,0,78
2017-01-28,89,85,69,66,0,53
2017-01-29,99,84,75,71,0,65
2017-01-30,89,94,98,92,0,61
2017-01-31,87,96,100,96,48,87
2017-02-01,85,97,90,93,0,62
2017-02-02,87,98,98,88,0,96
2017-02-03,88,95,87,82,21,66
2017-02-04,90,83,75,65,23,41
2017-02-05,94,85,69,67,23,41
2017-02-06,85,95,94,89,20,83
2017-02-07,87,98,94,93,0,100
2017-02-08,86,93,98,92,20,67
2017-02-09,84,95,91,87,0,74
2017-02-10,80,93,86,83,21,65
2017-02-11,91,87,72,65,23,57
2017-02-12,98,84,75,66,0,58
2017-02-13,85,94,89,85,20,73
2017-02-14,79,100,87,87,0,72
2017-02-15,82,95,94,91,41,70
2017-02-16,88,96,94,90,20,65
2017-02-17,83,94,88,85,0,65
2017-02-18,92,87,71,66,0,50
2017-02-19,100,82,73,68,0,59
2017-02-20,99,97,94,88,20,80
2017-02-21,93,95,99,97,60,88
2017-02-22,88,94,94,95,100,71
2017-02-23,84,90,90,95,20,66
2017-02-24,83,93,88,86,21,67
2017-02-25,92,85,71,69,0,49
2017-02-26,98,80,77,73,0,53
2017-02-27,92,86,100,96,0,85
2017-02-28,90,91,99,100,0,90
2017-03-01,79,91,94,95,0,74
2017-03-02,80,96,92,98,58,71
2017-03-03,80,92,87,86,91,77
2017-03-04,85,84,68,68,100,46
2017-03-05,100,89,77,70,0,47
2017-03-06,86,100,91,99,0,86
2017-03-07,86,94,94,96,85,91
2017-03-08,80,91,100,90,0,59
2017-03-09,84,96,91,90,29,70
2017-03-10,85,94,82,89,31,67
2017-03-11,88,85,67,65,0,49
2017-03-12,96,85,69,67,0,58
2017-03-13,87,97,92,92,0,74
2017-03-14,85,92,90,90,0,68
2017-03-15,81,97,92,91,60,100
2017-03-16,77,96,93,91,30,90
2017-03-17,79,93,82,85,95,73
2017-03-18,89,85,67,67,0,43
2017-03-19,89,81,72,65,0,58
2017-03-20,90,97,98,100,0,93
2017-03-21,84,97,91,99,60,82
2017-03-22,79,93,94,99,0,81
2017-03-23,79,94,88,96,60,74
2017-03-24,81,92,84,93,0,63
2017-03-25,86,86,69,72,0,39
2017-03-26,95,82,75,72,0,52
2017-03-27,87,96,96,96,59,73
2017-03-28,81,93,92,93,0,84
2017-03-29,85,94,97,96,30,73
2017-03-30,84,93,93,99,60,81
2017-03-31,81,90,82,88,0,68
2017-04-01,90,86,71,65,57,50
2017-04-02,99,88,71,73,0,49
2017-04-03,93,93,95,97,0,74
2017-04-04,93,100,98,97,50,98
