Date,spill,BP,gas,British Petroleum,oil,petroleum
2017-01-01,54,72,79,44,76,48
2017-01-02,64,91,93,0,92,71
2017-01-03,68,97,98,69,94,82
2017-01-04,61,90,98,52,98,98
2017-01-05,60,91,100,70,98,92
2017-01-06,69,74,94,0,95,72
2017-01-07,58,72,86,76,90,53
2017-01-08,61,77,86,39,93,48
2017-01-09,51,97,95,84,92,87
2017-01-10,66,92,93,100,92,96
2017-01-11,85,83,93,66,95,100
2017-01-12,72,95,93,34,97,94
2017-01-13,86,86,87,86,90,72
2017-01-14,100,81,82,77,96,60
2017-01-15,83,79,77,19,94,67
2017-01-16,70,100,90,17,98,86
2017-01-17,75,90,97,16,94,81
2017-01-18,74,90,90,49,94,85
2017-01-19,78,90,94,33,94,75
2017-01-20,59,88,91,34,89,82
2017-01-21,68,77,82,0,92,62
2017-01-22,74,80,80,37,96,58
2017-01-23,77,93,94,49,95,86
2017-01-24,73,93,94,65,94,93
2017-01-25,73,94,94,33,100,84
2017-01-26,89,92,91,33,92,83
2017-01-27,87,94,90,0,93,79
2017-01-28,76,70,83,0,94,53
2017-01-29,80,81,81,38,91,57
2017-01-30,73,100,97,49,93,83
2017-01-31,87,99,98,98,95,84
2017-02-01,69,85,92,33,93,81
2017-02-02,100,87,99,34,97,87
2017-02-03,93,85,97,24,98,77
2017-02-04,94,72,83,26,98,52
2017-02-05,85,72,84,38,94,53
2017-02-06,65,91,93,100,93,77
2017-02-07,72,93,95,33,95,100
2017-02-08,70,87,96,22,90,83
2017-02-09,58,91,95,46,91,96
2017-02-10,71,87,91,70,91,81
2017-02-11,62,70,83,39,97,56
2017-02-12,81,77,80,26,99,46
2017-02-13,90,87,95,55,92,86
2017-02-14,84,91,93,23,87,86
2017-02-15,77,89,95,23,90,91
2017-02-16,78,90,98,11,96,86
2017-02-17,72,86,93,45,98,74
2017-02-18,56,78,83,13,97,48
2017-02-19,66,77,86,13,98,62
2017-02-20,69,100,96,46,100,74
2017-02-21,68,88,97,44,98,80
2017-02-22,72,89,98,67,96,98
2017-02-23,71,89,90,11,95,88
2017-02-24,59,86,100,47,97,68
2017-02-25,57,74,89,13,95,51
2017-02-26,52,74,86,51,97,50
2017-02-27,67,93,98,33,100,98
2017-02-28,66,92,98,22,99,89
2017-03-01,100,97,99,35,92,95
2017-03-02,68,93,98,12,93,83
