Date,network,BT,EE,data,services,communications
2017-01-01,80,81,76,59,41,35
2017-01-02,81,79,81,74,62,58
2017-01-03,92,91,95,83,91,85
2017-01-04,95,93,94,87,94,93
2017-01-05,94,85,90,92,94,81
2017-01-06,92,88,80,85,87,83
2017-01-07,81,93,82,66,51,50
2017-01-08,86,90,79,66,48,45
2017-01-09,93,86,94,92,99,85
2017-01-10,100,94,78,91,94,100
2017-01-11,94,81,85,94,92,90
2017-01-12,89,81,96,92,98,87
2017-01-13,86,83,79,84,85,91
2017-01-14,82,83,87,62,52,50
2017-01-15,80,82,82,65,49,44
2017-01-16,90,86,93,84,82,74
2017-01-17,94,84,100,95,99,89
2017-01-18,93,91,92,98,98,93
2017-01-19,88,78,82,99,93,95
2017-01-20,86,80,81,87,85,81
2017-01-21,81,85,69,66,55,47
2017-01-22,81,76,75,71,53,47
2017-01-23,90,78,89,97,98,90
2017-01-24,94,97,87,94,95,93
2017-01-25,89,91,82,96,97,98
2017-01-26,89,85,80,91,87,92
2017-01-27,89,86,82,88,89,76
2017-01-28,77,90,75,67,54,48
2017-01-29,95,82,78,67,50,42
2017-01-30,100,91,86,91,97,87
2017-01-31,92,100,95,100,100,96
2017-02-01,85,88,98,93,92,100
2017-02-02,96,80,86,93,93,96
2017-02-03,88,77,91,82,87,91
2017-02-04,84,75,83,66,53,58
2017-02-05,87,72,82,66,48,50
2017-02-06,91,80,93,89,93,88
2017-02-07,100,81,89,91,94,91
2017-02-08,95,72,94,92,91,99
2017-02-09,94,80,84,91,88,94
2017-02-10,87,78,83,84,80,87
2017-02-11,76,80,93,65,53,43
2017-02-12,84,78,85,66,48,45
2017-02-13,93,77,94,100,90,90
2017-02-14,86,90,94,99,89,90
2017-02-15,84,100,92,94,89,90
2017-02-16,86,87,90,96,89,95
2017-02-17,79,76,88,87,82,99
2017-02-18,72,74,87,66,52,54
2017-02-19,74,85,87,68,48,46
2017-02-20,81,87,100,89,86,79
2017-02-21,82,93,83,92,94,94
2017-02-22,83,86,92,92,95,99
2017-02-23,84,86,83,93,90,97
2017-02-24,84,81,88,84,81,81
2017-02-25,77,75,89,64,51,51
2017-02-26,79,75,84,67,50,52
2017-02-27,88,86,89,92,96,87
2017-02-28,92,88,97,94,100,90
2017-03-01,90,91,80,95,97,96
2017-03-02,100,91,93,96,96,84
2017-03-03,93,87,91,85,84,82
2017-03-04,82,96,80,63,54,54
2017-03-05,81,86,84,66,52,51
2017-03-06,94,92,96,92,98,93
2017-03-07,93,98,85,93,100,90
2017-03-08,93,100,82,96,100,93
2017-03-09,93,98,84,93,91,93
2017-03-10,93,96,87,84,86,85
2017-03-11,85,94,72,63,51,51
2017-03-12,80,82,78,63,49,43
2017-03-13,96,91,96,94,90,83
2017-03-14,97,99,88,87,95,85
2017-03-15,92,96,85,94,95,90
2017-03-16,92,98,88,89,92,87
2017-03-17,85,88,81,86,83,82
2017-03-18,81,92,82,67,50,50
2017-03-19,79,91,74,63,49,52
2017-03-20,91,89,83,93,98,94
2017-03-21,94,91,95,100,94,98
2017-03-22,89,90,94,98,95,96
2017-03-23,84,94,77,93,91,97
2017-03-24,86,86,77,86,84,88
2017-03-25,72,78,75,65,50,57
2017-03-26,77,73,77,70,49,54
2017-03-27,89,92,89,92,94,100
2017-03-28,87,91,91,92,95,86
2017-03-29,87,86,100,94,94,93
2017-03-30,92,87,87,93,93,99
2017-03-31,85,86,88,85,85,77
2017-04-01,81,77,82,68,51,42
2017-04-02,97,69,72,69,48,43
2017-04-03,100,71,92,95,94,100
2017-04-04,92,93,90,95,96,94
2017-04-05,89,88,77,100,91,80
2017-04-06,88,69,79,94,89,89
2017-04-07,88,73,82,89,80,83
2017-04-08,75,71,76,67,50,38
2017-04-09,73,71,82,68,48,42
2017-04-10,96,75,90,96,100,91
2017-04-11,92,84,89,98,97,86
2017-04-12,88,100,84,98,92,84
2017-04-13,88,79,86,91,85,84
2017-04-14,84,76,75,77,73,63
2017-04-15,77,67,69,67,50,40
2017-04-16,74,69,74,66,48,39
2017-04-17,86,67,82,87,85,80
2017-04-18,84,86,83,91,89,83
2017-04-19,90,79,88,98,88,89
2017-04-20,88,87,92,100,89,91
2017-04-21,82,73,91,89,82,86
2017-04-22,80,78,78,67,52,37
2017-04-23,76,88,77,68,47,43
2017-04-24,88,76,88,93,96,95
2017-04-25,84,77,80,97,93,95
2017-04-26,87,78,81,96,89,85
2017-04-27,94,81,100,95,87,91
2017-04-28,85,75,83,86,80,74
2017-04-29,77,75,77,66,48,50
2017-04-30,82,71,75,66,45,41
2017-05-01,100,58,83,84,88,73
2017-05-02,96,70,93,94,98,83
2017-05-03,96,71,95,99,95,85
2017-05-04,94,67,82,99,92,78
2017-05-05,95,66,81,88,84,76
2017-05-06,84,63,80,69,53,38
2017-05-07,83,65,74,70,49,41
2017-05-08,90,66,95,97,98,84
2017-05-09,95,70,83,100,93,91
2017-05-10,87,70,86,97,96,79
2017-05-11,90,77,90,100,92,84
2017-05-12,91,66,86,87,84,79
2017-05-13,79,70,76,68,50,41
2017-05-14,81,58,82,69,45,42
2017-05-15,91,68,91,95,100,86
2017-05-16,90,71,91,94,98,83
2017-05-17,92,71,89,93,93,73
2017-05-18,95,66,88,93,91,69
2017-05-19,92,67,85,84,82,78
2017-05-20,80,68,94,68,52,48
2017-05-21,80,60,79,67,48,36
2017-05-22,89,66,84,90,92,81
2017-05-23,91,62,83,92,96,83
2017-05-24,93,100,83,95,94,79
2017-05-25,93,60,84,88,89,71
2017-05-26,92,61,81,79,80,61
2017-05-27,80,69,75,65,51,47
2017-05-28,75,68,79,67,47,32
2017-05-29,87,67,100,81,68,51
2017-05-30,93,68,90,90,98,100
2017-05-31,94,62,78,91,97,82
2017-06-01,88,61,85,97,95,93
2017-06-02,89,65,92,93,88,93
2017-06-03,80,100,74,74,55,56
2017-06-04,81,60,83,70,50,46
2017-06-05,92,67,93,95,96,89
2017-06-06,92,63,89,99,97,95
2017-06-07,92,61,86,100,95,86
2017-06-08,85,62,89,98,91,88
2017-06-09,90,58,87,89,86,80
2017-06-10,74,56,89,71,53,46
2017-06-11,75,57,77,69,51,44
2017-06-12,89,60,100,97,96,92
2017-06-13,96,62,85,98,96,92
2017-06-14,94,58,77,96,94,89
2017-06-15,96,60,89,94,90,85
2017-06-16,94,58,87,88,86,93
2017-06-17,84,49,80,69,53,47
2017-06-18,82,54,82,69,48,42
2017-06-19,93,58,85,97,97,92
2017-06-20,100,61,91,99,100,84
2017-06-21,91,58,78,99,98,100
2017-06-22,93,62,89,97,93,91
2017-06-23,91,63,87,88,88,78
2017-06-24,74,54,85,66,50,53
2017-06-25,82,59,87,67,49,43
2017-06-26,93,64,86,88,100,91
2017-06-27,96,63,86,94,95,90
2017-06-28,97,63,92,97,98,96
2017-06-29,100,62,92,94,94,92
2017-06-30,96,64,82,84,87,87
2017-07-01,82,77,79,67,52,41
2017-07-02,81,75,82,62,48,41
2017-07-03,85,94,87,84,90,69
2017-07-04,85,87,87,82,74,55
2017-07-05,91,87,87,95,98,84
2017-07-06,89,89,89,96,99,82
2017-07-07,99,85,89,89,93,73
2017-07-08,83,76,73,68,54,53
2017-07-09,84,77,73,70,54,40
2017-07-10,99,91,92,97,98,87
2017-07-11,97,85,83,94,100,77
2017-07-12,100,87,90,99,96,86
2017-07-13,95,88,87,99,93,85
2017-07-14,90,85,92,85,84,81
2017-07-15,81,84,90,70,52,44
2017-07-16,86,78,81,68,49,39
2017-07-17,93,93,90,92,99,84
2017-07-18,90,94,86,93,98,81
2017-07-19,94,86,100,99,99,84
2017-07-20,98,88,96,98,95,84
2017-07-21,88,93,93,86,88,95
2017-07-22,80,85,87,68,51,43
2017-07-23,81,82,85,70,49,42
2017-07-24,96,91,84,100,97,89
2017-07-25,92,87,93,97,98,87
2017-07-26,92,100,95,98,96,92
2017-07-27,92,97,90,100,95,89
2017-07-28,85,96,92,88,89,86
2017-07-29,74,93,82,70,52,44
2017-07-30,79,99,92,68,50,48
2017-07-31,99,97,88,91,98,100
2017-08-01,97,80,92,96,100,100
2017-08-02,98,87,93,95,100,86
