Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2017-01-01,100,100,100,32,100,100
2017-01-02,50,51,90,80,94,77
2017-01-03,37,38,87,26,83,59
2017-01-04,38,31,86,0,79,63
2017-01-05,41,31,87,26,82,63
2017-01-06,58,53,87,54,90,70
2017-01-07,87,61,90,28,98,76
2017-01-08,55,53,93,0,93,71
2017-01-09,33,30,84,100,76,55
2017-01-10,31,30,83,25,79,55
2017-01-11,29,27,83,99,80,56
2017-01-12,39,36,86,0,79,60
2017-01-13,59,54,85,26,84,71
2017-01-14,93,60,94,57,88,90
2017-01-15,62,54,95,56,94,80
2017-01-16,36,29,85,0,83,63
2017-01-17,34,26,88,0,76,58
2017-01-18,38,28,84,24,77,56
2017-01-19,43,32,87,98,75,61
2017-01-20,59,46,85,51,81,70
2017-01-21,68,71,92,28,97,91
2017-01-22,51,55,93,84,93,76
2017-01-23,28,26,86,49,79,58
2017-01-24,28,29,84,48,77,56
2017-01-25,42,29,85,49,79,56
2017-01-26,40,37,86,25,78,61
2017-01-27,65,56,88,26,86,71
2017-01-28,96,73,92,28,92,100
2017-01-29,49,62,92,84,98,81
2017-01-30,38,31,85,97,78,55
2017-01-31,38,35,88,49,81,57
2017-02-01,23,42,91,0,62,56
2017-02-02,19,41,93,44,66,57
2017-02-03,34,66,93,15,65,65
2017-02-04,43,100,100,67,73,86
2017-02-05,35,76,98,33,73,65
2017-02-06,19,36,83,100,62,49
2017-02-07,20,36,91,29,66,55
2017-02-08,18,32,89,58,65,56
2017-02-09,23,43,87,29,66,59
2017-02-10,36,62,90,30,75,68
2017-02-11,48,98,93,17,76,93
2017-02-12,31,73,94,49,78,81
2017-02-13,21,36,88,0,88,66
2017-02-14,32,52,89,73,100,82
2017-02-15,20,41,89,0,64,64
2017-02-16,24,45,95,44,62,61
2017-02-17,35,62,92,0,68,73
2017-02-18,54,73,98,17,70,100
2017-02-19,38,71,99,0,70,88
2017-02-20,21,38,94,29,64,63
2017-02-21,19,36,91,57,60,55
2017-02-22,21,34,92,0,60,58
