Date,property,portfolio,WPG,investment,securities,Land Securities Group
2017-01-01,60,46,79,46,21,0.0
2017-01-02,74,77,37,63,52,0.0
2017-01-03,89,87,99,77,73,0.0
2017-01-04,96,89,49,83,73,0.0
2017-01-05,98,96,77,89,78,0.0
2017-01-06,84,79,71,82,77,0.0
2017-01-07,71,57,25,58,29,0.0
2017-01-08,70,61,40,58,17,0.0
2017-01-09,92,83,35,87,81,0.0
2017-01-10,95,86,43,89,93,0.0
2017-01-11,93,85,82,90,78,0.0
2017-01-12,91,91,84,93,91,0.0
2017-01-13,87,80,63,78,66,0.0
2017-01-14,65,55,100,51,33,58.0
2017-01-15,74,60,54,58,30,0.0
2017-01-16,90,87,56,84,76,100.0
2017-01-17,97,100,77,93,96,0.0
2017-01-18,94,92,81,95,87,49.0
2017-01-19,96,90,77,98,84,0.0
2017-01-20,83,85,76,89,86,52.0
2017-01-21,74,60,69,54,34,0.0
2017-01-22,76,70,78,62,39,0.0
2017-01-23,98,98,72,89,91,0.0
2017-01-24,100,99,68,100,83,0.0
2017-01-25,94,96,69,89,100,0.0
2017-01-26,94,92,56,82,79,0.0
2017-01-27,92,94,86,89,80,0.0
2017-01-28,69,56,59,56,34,0.0
2017-01-29,75,63,29,61,48,0.0
2017-01-30,98,92,72,88,82,0.0
2017-01-31,100,98,60,98,93,49.0
2017-02-01,90,90,54,90,84,0.0
2017-02-02,98,92,72,84,93,52.0
2017-02-03,87,84,95,83,89,0.0
2017-02-04,75,59,53,63,42,0.0
2017-02-05,69,56,96,62,41,0.0
2017-02-06,94,89,94,89,87,0.0
2017-02-07,94,94,75,85,98,0.0
2017-02-08,98,84,60,91,96,0.0
2017-02-09,91,93,66,82,91,0.0
2017-02-10,86,71,78,77,83,0.0
2017-02-11,72,47,58,57,32,0.0
2017-02-12,75,68,80,64,37,0.0
2017-02-13,89,81,69,89,96,100.0
2017-02-14,87,84,91,90,93,51.0
2017-02-15,94,95,91,100,89,0.0
2017-02-16,94,93,87,98,82,0.0
2017-02-17,88,90,76,83,85,0.0
2017-02-18,71,59,69,57,34,0.0
2017-02-19,73,60,58,59,39,0.0
2017-02-20,94,90,87,89,79,52.0
2017-02-21,99,94,50,92,95,0.0
2017-02-22,94,100,100,98,100,0.0
2017-02-23,90,96,81,88,91,0.0
2017-02-24,88,84,53,81,70,0.0
2017-02-25,71,63,70,57,40,0.0
2017-02-26,77,64,68,63,25,57.0
2017-02-27,100,91,74,94,90,0.0
2017-02-28,99,97,93,94,85,0.0
2017-03-01,94,90,91,88,92,0.0
2017-03-02,92,85,80,92,86,0.0
2017-03-03,87,80,92,80,82,0.0
2017-03-04,68,65,50,59,38,0.0
2017-03-05,77,55,51,70,41,0.0
2017-03-06,91,100,20,85,87,0.0
2017-03-07,94,80,82,95,92,0.0
2017-03-08,100,88,49,93,91,0.0
2017-03-09,91,90,73,88,94,0.0
2017-03-10,82,77,93,81,81,0.0
2017-03-11,67,43,42,53,37,100.0
2017-03-12,69,62,62,56,40,0.0
2017-03-13,92,75,76,88,74,0.0
2017-03-14,90,78,60,84,91,0.0
2017-03-15,92,92,82,90,93,87.0
2017-03-16,93,91,87,87,90,0.0
2017-03-17,82,78,100,82,82,93.0
2017-03-18,67,51,62,56,27,0.0
2017-03-19,72,50,46,62,37,0.0
2017-03-20,98,95,62,97,92,0.0
2017-03-21,91,97,58,92,88,0.0
2017-03-22,94,91,81,100,91,0.0
2017-03-23,88,92,62,89,84,0.0
2017-03-24,84,76,64,79,90,0.0
2017-03-25,69,48,72,57,37,0.0
2017-03-26,75,60,52,65,32,0.0
2017-03-27,96,82,61,89,88,0.0
2017-03-28,92,81,41,98,96,0.0
2017-03-29,97,89,58,87,100,0.0
2017-03-30,93,74,42,89,94,0.0
2017-03-31,82,78,55,75,67,0.0
2017-04-01,71,54,36,53,38,0.0
2017-04-02,71,67,88,60,34,0.0
2017-04-03,95,83,44,91,97,0.0
2017-04-04,98,88,76,94,76,0.0
2017-04-05,98,100,80,100,87,0.0
2017-04-06,95,82,99,95,86,0.0
2017-04-07,87,73,83,78,87,0.0
2017-04-08,68,57,68,59,39,0.0
2017-04-09,71,57,42,63,33,0.0
2017-04-10,98,91,32,97,90,0.0
2017-04-11,98,82,95,95,73,0.0
2017-04-12,95,78,46,89,77,0.0
2017-04-13,91,79,100,86,80,0.0
2017-04-14,82,62,61,66,44,0.0
2017-04-15,70,51,53,51,32,0.0
2017-04-16,70,58,70,60,32,0.0
2017-04-17,89,70,56,83,72,0.0
2017-04-18,96,89,74,95,90,0.0
2017-04-19,92,89,79,87,78,0.0
2017-04-20,92,82,63,98,97,0.0
2017-04-21,89,75,61,77,74,0.0
2017-04-22,70,59,72,48,38,0.0
2017-04-23,72,55,56,64,43,0.0
2017-04-24,94,82,80,96,100,0.0
2017-04-25,96,83,93,88,97,0.0
2017-04-26,100,96,52,89,94,100.0
2017-04-27,95,84,58,90,85,0.0
2017-04-28,83,74,82,81,72,0.0
2017-04-29,67,60,58,54,35,0.0
2017-04-30,69,62,68,56,41,0.0
2017-05-01,94,93,48,85,64,0.0
2017-05-02,97,100,70,97,99,0.0
2017-05-03,94,93,74,93,83,0.0
2017-05-04,92,93,37,96,82,0.0
2017-05-05,89,85,31,84,88,100.0
2017-05-06,72,64,100,57,37,0.0
2017-05-07,72,63,47,63,34,0.0
2017-05-08,100,91,82,91,95,0.0
2017-05-09,99,99,62,100,100,95.0
