Date,Legal & General,assurance,insurance,business,pensions,investment
2017-01-01,0,36,42,47,42,46
2017-01-02,63,73,66,62,67,63
2017-01-03,30,87,95,83,87,77
2017-01-04,60,85,99,89,95,83
2017-01-05,15,85,96,90,75,89
2017-01-06,79,83,85,78,71,82
2017-01-07,33,53,60,56,41,58
2017-01-08,17,46,53,61,44,58
2017-01-09,59,89,90,88,74,87
2017-01-10,73,93,90,92,96,89
2017-01-11,29,86,89,92,65,90
2017-01-12,0,87,90,94,90,93
2017-01-13,15,73,88,80,74,78
2017-01-14,34,54,65,58,63,51
2017-01-15,0,50,59,62,38,58
2017-01-16,15,83,87,88,85,84
2017-01-17,72,82,95,96,87,93
2017-01-18,57,86,92,98,100,95
2017-01-19,14,84,89,95,96,98
2017-01-20,30,68,85,82,94,89
2017-01-21,0,48,64,57,37,54
2017-01-22,0,56,60,61,45,62
2017-01-23,71,80,97,92,78,89
2017-01-24,57,100,92,95,90,100
2017-01-25,86,84,88,93,92,89
2017-01-26,72,77,87,86,86,82
2017-01-27,46,72,94,85,82,89
2017-01-28,17,55,62,60,37,56
2017-01-29,0,42,59,65,50,61
2017-01-30,99,85,96,95,88,88
2017-01-31,100,81,100,100,99,98
2017-02-01,100,88,91,95,83,90
2017-02-02,45,86,89,96,84,84
2017-02-03,61,81,83,85,78,83
2017-02-04,0,57,62,61,22,63
2017-02-05,0,57,57,63,41,62
2017-02-06,0,96,90,90,74,89
2017-02-07,58,92,90,100,92,85
2017-02-08,29,94,87,93,85,91
2017-02-09,30,81,85,94,77,82
2017-02-10,45,81,82,83,60,77
2017-02-11,17,53,59,58,39,57
2017-02-12,0,52,50,62,39,64
2017-02-13,58,90,90,90,82,89
2017-02-14,44,85,84,90,81,90
2017-02-15,30,91,86,93,86,100
2017-02-16,59,78,89,96,100,98
2017-02-17,0,81,81,86,69,83
2017-02-18,50,55,59,60,46,57
2017-02-19,0,59,53,65,35,59
2017-02-20,30,92,84,93,74,89
2017-02-21,58,93,89,100,83,92
2017-02-22,44,88,89,99,97,98
2017-02-23,29,86,93,92,81,88
2017-02-24,77,87,88,83,66,81
2017-02-25,34,64,63,61,37,57
2017-02-26,16,55,57,67,35,63
2017-02-27,72,100,100,98,83,94
2017-02-28,29,93,99,97,76,94
2017-03-01,77,84,93,96,74,88
2017-03-02,97,100,90,94,83,92
2017-03-03,20,84,87,85,56,80
2017-03-04,0,60,62,58,34,59
2017-03-05,23,59,60,66,35,70
2017-03-06,95,90,100,99,71,85
2017-03-07,94,87,100,99,78,95
2017-03-08,79,89,97,97,100,93
2017-03-09,59,91,93,95,69,88
2017-03-10,41,85,89,87,73,81
2017-03-11,0,52,62,59,41,53
2017-03-12,21,50,55,63,37,56
2017-03-13,19,95,92,96,69,88
2017-03-14,78,89,94,99,71,84
2017-03-15,0,80,93,95,79,90
2017-03-16,100,83,91,93,65,87
2017-03-17,42,78,81,81,62,82
2017-03-18,69,62,60,60,37,56
2017-03-19,0,52,50,62,37,62
2017-03-20,80,100,96,100,64,97
2017-03-21,40,96,95,99,65,92
2017-03-22,39,93,88,95,62,100
2017-03-23,40,84,87,90,56,89
2017-03-24,41,84,83,84,49,79
2017-03-25,47,61,61,59,28,57
2017-03-26,0,48,57,63,23,65
2017-03-27,20,86,93,96,73,89
2017-03-28,100,94,95,95,61,98
2017-03-29,60,93,90,96,66,87
2017-03-30,81,81,91,91,64,89
2017-03-31,41,82,82,79,57,75
2017-04-01,29,58,59,60,49,53
2017-04-02,29,50,53,63,57,60
2017-04-03,37,95,96,96,87,91
2017-04-04,100,92,95,100,78,94
2017-04-05,25,85,93,98,74,100
2017-04-06,63,87,90,97,81,95
2017-04-07,39,82,85,85,80,78
2017-04-08,29,53,56,60,28,59
2017-04-09,15,45,55,61,44,63
2017-04-10,25,92,100,95,72,97
2017-04-11,13,90,93,96,77,95
2017-04-12,25,81,88,95,97,89
2017-04-13,13,100,86,89,92,86
2017-04-14,0,71,76,73,52,66
2017-04-15,0,49,54,57,28,51
2017-04-16,0,40,51,57,54,60
2017-04-17,13,53,84,83,51,83
2017-04-18,49,87,91,96,93,95
2017-04-19,49,91,91,95,78,87
2017-04-20,37,86,89,93,99,98
2017-04-21,13,82,84,83,88,77
2017-04-22,0,57,57,59,41,48
2017-04-23,0,47,50,60,46,64
2017-04-24,12,87,97,97,94,96
2017-04-25,37,88,92,97,100,88
2017-04-26,36,87,94,97,93,89
