Date,Pearson,education,Edexcel,publisher,penguin,books
2017-01-01,30,36,35,29,70,85
2017-01-02,40,56,41,56,65,93
2017-01-03,58,72,72,67,61,99
2017-01-04,71,76,83,89,65,100
2017-01-05,76,79,85,86,67,99
2017-01-06,66,70,74,71,73,92
2017-01-07,37,51,61,47,63,84
2017-01-08,52,57,87,48,68,93
2017-01-09,80,87,99,79,64,96
2017-01-10,90,85,100,77,65,97
2017-01-11,81,89,98,80,65,92
2017-01-12,88,84,83,87,71,97
2017-01-13,80,72,55,77,70,91
2017-01-14,44,51,39,53,67,87
2017-01-15,47,51,62,56,67,92
2017-01-16,64,72,96,75,57,92
2017-01-17,87,84,87,86,65,96
2017-01-18,100,99,73,96,65,96
2017-01-19,93,100,72,86,70,95
2017-01-20,83,85,53,80,77,91
2017-01-21,49,60,42,49,76,86
2017-01-22,51,64,70,43,72,92
2017-01-23,90,92,85,100,61,96
2017-01-24,92,90,81,76,61,95
2017-01-25,86,90,75,96,59,91
2017-01-26,88,83,82,82,67,88
2017-01-27,74,80,44,84,65,88
2017-01-28,41,56,32,57,66,87
2017-01-29,47,58,50,53,64,91
2017-01-30,89,86,82,91,60,91
2017-01-31,89,97,67,96,100,96
2017-02-01,90,80,72,79,96,94
2017-02-02,90,85,92,84,87,94
2017-02-03,85,74,67,81,80,91
2017-02-04,48,51,49,46,100,88
2017-02-05,58,53,62,50,94,87
2017-02-06,85,76,100,74,71,91
2017-02-07,92,100,88,90,62,91
2017-02-08,100,99,78,93,58,86
2017-02-09,78,82,75,100,60,90
2017-02-10,80,69,66,65,60,83
2017-02-11,51,50,44,54,61,83
2017-02-12,52,51,51,51,60,88
2017-02-13,100,73,55,84,51,88
2017-02-14,83,74,51,83,50,86
2017-02-15,83,76,61,85,49,84
2017-02-16,97,75,55,76,42,92
2017-02-17,72,65,52,83,43,86
2017-02-18,48,47,48,60,54,83
2017-02-19,47,50,71,56,53,86
2017-02-20,71,67,81,66,41,89
2017-02-21,83,78,77,92,45,93
2017-02-22,96,79,81,94,44,96
2017-02-23,85,76,60,83,43,90
2017-02-24,81,66,66,80,43,83
2017-02-25,48,51,61,51,48,84
2017-02-26,57,59,84,55,45,89
2017-02-27,97,78,96,85,39,92
2017-02-28,90,78,99,80,44,100
2017-03-01,96,96,86,76,30,91
2017-03-02,97,93,94,79,24,100
2017-03-03,85,81,50,73,30,86
2017-03-04,48,61,45,44,29,80
2017-03-05,53,69,64,51,28,86
2017-03-06,90,94,88,87,23,88
2017-03-07,100,98,72,100,23,91
2017-03-08,95,100,76,86,23,87
2017-03-09,82,93,81,78,26,85
2017-03-10,80,83,54,68,26,81
2017-03-11,40,57,47,48,27,76
2017-03-12,47,56,60,53,27,80
2017-03-13,82,85,78,75,22,83
2017-03-14,89,90,96,72,25,81
2017-03-15,89,90,74,74,26,80
2017-03-16,89,86,82,71,24,83
2017-03-17,74,79,56,62,28,78
2017-03-18,52,60,40,34,33,75
2017-03-19,49,63,66,49,30,81
2017-03-20,91,93,87,67,26,85
2017-03-21,90,92,100,77,25,82
2017-03-22,82,90,87,79,26,84
2017-03-23,75,96,79,80,27,83
2017-03-24,73,81,53,68,26,82
2017-03-25,48,56,51,40,28,77
2017-03-26,44,64,51,52,30,83
2017-03-27,82,88,70,83,25,83
2017-03-28,96,96,87,75,30,87
2017-03-29,78,95,81,92,75,86
2017-03-30,80,91,97,75,100,85
2017-03-31,72,80,58,69,58,77
2017-04-01,48,61,48,45,100,89
2017-04-02,49,61,50,55,88,91
2017-04-03,94,93,62,77,69,91
2017-04-04,100,98,60,80,62,100
2017-04-05,84,96,62,78,57,94
2017-04-06,95,99,54,93,57,94
2017-04-07,80,88,45,75,55,87
2017-04-08,46,57,37,40,52,87
2017-04-09,49,65,43,35,55,86
