,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
0,2017-01-03,3744.03205859551,3843.8442076618376,3716.58004688556,3749.5224609375,3489721,96,0,0.0,77,83,79
1,2017-01-04,3762.191543904627,3846.659248078507,3752.477757924631,3781.19677734375,2376565,94,52,0.0,82,90,99
2,2017-01-05,3793.8678749302458,3869.3868880034806,3781.332996499408,3843.281494140625,2296016,97,26,0.0,83,91,100
3,2017-01-06,3854.2620783215775,3870.5872800101056,3837.368534257053,3843.70361328125,2024588,88,27,0.0,73,84,86
4,2017-01-09,3852.150028639828,3912.469378998095,3837.098030750427,3891.849853515625,3483481,91,50,0.0,84,86,56
5,2017-01-10,3925.6370921646576,3986.803596681996,3913.389273372535,3936.195556640625,2846457,91,100,0.0,89,85,88
6,2017-01-11,3930.2826189904176,3998.126936438799,3853.417001468791,3866.087158203125,5454457,88,73,0.0,90,87,97
7,2017-01-12,3845.815308943602,3895.391839182608,3790.06661349219,3847.927001953125,5406619,96,25,0.0,88,90,88
8,2017-01-13,3864.8205014984273,3952.212420762555,3804.201302302223,3893.1171875,3560827,87,26,0.0,77,86,93
9,2017-01-16,3904.519892031736,3933.767661478855,3856.253277328181,3864.820068359375,1535835,88,0,0.0,83,91,83
10,2017-01-17,3837.7903725228657,3959.85116175639,3825.542554672842,3826.8095703125,2601103,98,0,0.0,95,89,90
11,2017-01-18,3848.3493537482254,3885.5151508432486,3838.213227267765,3869.0439453125,2309840,98,0,0.0,93,94,66
12,2017-01-19,3839.0579933558342,3898.666716734648,3771.061476641831,3774.440185546875,4155412,94,0,86.0,92,97,99
13,2017-01-20,3758.8128235986887,3809.472411501362,3629.99957514952,3647.73779296875,5682885,88,26,0.0,83,97,82
14,2017-01-23,3630.422461212879,3705.366525290254,3586.0769099765657,3594.523681640625,5267069,100,98,0.0,100,95,66
15,2017-01-24,3601.7031426082444,3658.7365815911,3545.954454190762,3560.31396484375,3077286,97,25,0.0,99,100,91
16,2017-01-25,3602.547972129307,3682.6021649188096,3569.605563943365,3600.436279296875,3542769,92,0,0.0,97,91,98
17,2017-01-26,3619.019465216152,3718.657554782951,3600.0142282066145,3630.422607421875,2881787,93,50,0.0,89,94,63
18,2017-01-27,3543.4208729233933,3651.6401904708623,3494.0072564595034,3580.586669921875,5450717,91,77,0.0,89,86,86
19,2017-01-30,3568.3379660647684,3660.9228960213673,3563.692242591373,3598.746337890625,2693995,95,49,0.0,100,90,93
20,2017-01-31,3607.61606756164,3640.737475009947,3518.924967797188,3542.575927734375,4270510,99,0,0.0,100,99,89
21,2017-02-01,3598.3245526253822,3675.766349686492,3579.3193173122204,3587.34375,3630009,94,50,0.0,98,100,65
22,2017-02-02,3580.1640340716885,3624.931922193854,3505.4101076790157,3608.883056640625,4083885,94,52,100.0,92,92,92
23,2017-02-03,3632.956188746361,3762.6446435004536,3616.4849853795727,3681.102783203125,4284576,89,53,0.0,78,89,63
24,2017-02-06,3716.579460470086,3781.9582142803815,3675.612618689904,3706.02099609375,2445441,88,76,99.0,88,90,63
25,2017-02-07,3727.560638342001,3836.644846601853,3719.536204608884,3758.391357421875,3647934,94,25,0.0,95,95,74
26,2017-02-08,3752.900247064106,3852.318078962852,3729.249288946214,3787.954345703125,3022797,94,76,0.0,100,96,90
27,2017-02-09,3810.760950360741,3940.1165739522735,3760.7035183787216,3864.39794921875,2851017,89,51,0.0,91,93,67
28,2017-02-10,3891.850302694269,3953.134357291377,3873.2674037991474,3907.899169921875,3934506,88,54,0.0,80,89,51
29,2017-02-13,3907.898890686527,3995.2301779644113,3905.787197781152,3928.171142578125,2048984,90,75,0.0,90,93,53
30,2017-02-14,3912.96696406858,3972.051471814107,3870.7331058487352,3907.4765625,2973644,86,51,0.0,89,95,100
31,2017-02-15,3939.1521349222007,4009.954479336612,3920.991575063548,3956.468017578125,2271298,95,51,0.0,89,96,42
32,2017-02-16,3956.6420800770456,4069.3899692538457,3924.7899768739553,3948.351806640625,2284883,95,51,0.0,92,99,100
33,2017-02-17,3973.2225332498806,4147.929303989316,3952.715015232887,4009.874267578125,3765047,88,51,0.0,81,95,66
34,2017-02-20,4021.218955142232,4053.8346362291336,3963.6233711493096,3988.057861328125,1693148,95,51,0.0,86,92,76
35,2017-02-21,3987.621368475098,4071.4858156245873,3978.0221048678704,3981.076416015625,1955669,98,0,0.0,93,99,80
36,2017-02-22,3979.3314619457856,4025.383473151917,3922.608535404892,3975.8408203125,2923131,100,0,98.0,93,95,69
37,2017-02-23,3988.930591093615,4096.997307210549,3979.33132692778,4014.674072265625,2436693,93,52,0.0,91,93,89
38,2017-02-24,4015.546843853398,4079.8365197644152,3986.74905055835,4022.091796875,2029277,88,27,0.0,75,94,50
39,2017-02-27,4043.472518856334,4092.694747994413,4013.3657309205305,4021.656005859375,1586647,95,25,0.0,96,100,70
40,2017-02-28,4041.290911166038,4129.537002775918,4041.290911166038,4052.635498046875,2958823,98,100,0.0,98,96,83
