,Date,Open,High,Low,Close,Volume,government,aircraft,Airbus,defence,BAE Systems,aerospace
0,2017-01-03,475.8031098548128,480.6295150266282,472.5855064069358,475.4009094238281,6012671,68,86,91,81,64,71
1,2017-01-04,475.40086763822114,476.6074688251202,468.1612605168269,470.574462890625,8970946,74,88,75,82,51,78
2,2017-01-05,469.7699555352394,474.1941588836021,468.56335462204953,472.5853576660156,5603166,75,80,81,85,51,74
3,2017-01-06,471.781061043227,487.46687637203,471.4794107484423,486.6624755859375,9658212,75,100,74,82,40,79
4,2017-01-09,488.2712938125163,490.2822958463405,477.0096824231008,480.6294860839844,9031370,80,92,86,88,57,58
5,2017-01-10,481.836100093654,493.4999121994268,479.42289758901126,490.68450927734375,10094456,83,69,91,99,90,73
6,2017-01-11,491.891110529665,494.30431303430777,489.07570760758193,490.68450927734375,9831975,84,83,100,77,60,82
7,2017-01-12,491.48889352898846,497.9240999909065,487.4668894902897,496.7174987792969,12131724,87,87,94,78,33,66
8,2017-01-13,496.717487500519,497.1196878952563,488.67347960577376,491.8910827636719,15243942,72,89,78,75,58,73
9,2017-01-16,489.075680000511,495.61143641499154,485.0536760531384,491.8910827636719,6148222,70,74,91,87,61,77
10,2017-01-17,489.47787833726113,494.3042830538159,485.4558744067988,486.6624755859375,6647124,82,86,88,89,68,66
11,2017-01-18,485.858074799845,486.6624755859375,480.2272692971978,486.6624755859375,8412076,86,89,87,84,28,67
12,2017-01-19,485.85803851257526,490.6844428686604,482.6404356085184,484.2492370605469,6616375,88,89,85,84,65,100
13,2017-01-20,484.2492647321893,487.0646674341206,482.49567694087926,483.0426635742188,7430458,81,79,71,83,34,70
14,2017-01-23,480.22733078002926,485.4559365590413,479.4229298909505,482.6405334472656,4338560,92,84,71,100,64,81
15,2017-01-24,483.4449103109813,486.1203385012996,479.1091779510998,481.0317077636719,7208184,99,79,79,91,73,88
16,2017-01-25,483.0426635742188,488.6734689780814,481.8360624162482,483.0426635742188,5755771,89,75,75,91,48,69
17,2017-01-26,483.0426242239523,484.7093597697656,475.4008175126658,479.4228210449219,6884692,84,87,70,87,61,88
18,2017-01-27,481.03168739286656,481.03168739286656,474.9986812800798,476.60748291015625,5386607,80,83,80,88,51,63
19,2017-01-30,474.5964668469552,477.8140700120192,469.367861703726,470.574462890625,7208445,90,86,67,91,100,74
20,2017-01-31,470.976596216156,473.0077275635476,466.954592832585,468.16119384765625,8852403,100,88,89,86,99,79
21,2017-02-01,472.1832802440987,473.3898814712982,466.55247451716735,468.5634765625,8741904,100,91,85,90,56,69
22,2017-02-02,468.1612577070614,471.3788608528144,466.954656527404,469.3678588867188,9892984,96,75,91,86,62,82
23,2017-02-03,470.172259673157,471.7810612460335,468.9656584934996,469.3678588867188,6101680,89,75,92,79,48,87
24,2017-02-06,470.9767904476244,476.70250150759006,469.3679884307239,472.98779296875,4967130,94,69,84,92,68,61
25,2017-02-07,474.1943005462952,481.6350084004992,473.3898996971921,481.0317077636719,7586799,94,94,100,84,63,72
26,2017-02-08,481.0317409283127,484.6515449988434,478.8831696157236,482.23834228515625,8237757,94,81,92,85,100,90
27,2017-02-09,482.6405334472656,487.46693878173824,479.82513033548986,482.6405334472656,5430285,96,79,99,91,61,70
28,2017-02-10,485.4558673434787,494.7064762489469,483.4448654075074,492.2932739257813,13712461,81,74,79,75,60,58
29,2017-02-13,493.0976923657702,498.7284979882178,490.82927620911954,495.5108947753906,10005199,92,80,86,76,98,71
30,2017-02-14,495.5109058887283,496.1946269480971,485.4558956231291,487.064697265625,7924739,95,82,73,88,75,84
31,2017-02-15,488.271334470249,490.2823366715268,485.45593138846,489.4779357910156,5423588,92,87,87,100,54,91
32,2017-02-16,487.4669654675526,489.99279618074974,483.4449608019787,485.4559631347656,5212353,93,92,93,87,43,91
33,2017-02-17,486.2602780083439,493.0976847297184,485.39553733894206,487.86907958984375,6025603,81,72,88,81,46,64
34,2017-02-20,489.0756708282272,494.30427586175256,489.0756708282272,492.2932739257813,4173363,82,79,89,87,65,84
35,2017-02-21,493.4999401935712,493.7814608630568,488.6735349105045,489.4779357910156,8725389,94,87,79,87,60,86
36,2017-02-22,491.4889017824886,492.6955030143605,483.4448935700093,487.064697265625,8567397,94,90,95,95,60,100
37,2017-02-23,492.2933202403994,503.1527317162906,488.27131599006935,490.2823181152344,14861992,96,83,91,88,76,86
38,2017-02-24,493.0976499479961,495.95326273438593,489.0756462779472,494.7064514160156,8488733,80,76,89,79,56,60
39,2017-02-27,497.521890337799,499.13069192336985,492.2932851846936,497.1196899414063,8255079,96,89,75,80,76,77
40,2017-02-28,504.7615502978129,510.3923564365932,500.8682284507221,506.7725524902344,16144607,94,100,91,92,81,81
41,2017-03-01,507.5769181576388,514.0121247269908,506.3703169258853,513.6099243164062,10089050,93,86,82,74,69,77
42,2017-03-02,514.4142869367313,523.6648956932167,512.4032850331475,523.2626953125,11913543,94,100,90,90,88,81
43,2017-03-03,523.2627640778276,523.2627640778276,514.01215410566,517.6319580078125,8772083,82,97,95,87,68,67
44,2017-03-06,518.034158441385,521.251761909965,514.816554972805,517.6319580078125,6984397,91,100,82,93,47,88
45,2017-03-07,517.2296569066018,520.4472597489446,516.4252561960161,518.0340576171875,7299363,96,96,98,84,69,83
46,2017-03-08,516.425307064629,524.8715153577422,515.8622166924092,522.4583129882812,7301177,94,93,89,97,83,96
47,2017-03-09,524.4693438350506,524.4693438350506,515.6209346599194,517.229736328125,10256552,94,82,100,88,61,84
48,2017-03-10,518.0341260302198,519.0396270512412,511.5989194956829,512.4033203125,10754078,84,90,86,86,32,83
49,2017-03-13,513.6098666694221,515.4269855323827,510.734124237167,510.7944641113281,5789439,87,95,94,91,42,94
50,2017-03-14,512.4033018488869,514.8165042123825,510.9151800300891,513.2077026367188,4996151,100,94,83,93,55,100
51,2017-03-15,515.620849609375,516.827450661503,512.8054471544096,515.620849609375,6207147,96,90,91,97,51,78
52,2017-03-16,518.4363005882086,520.0451021416243,515.620897869731,518.8385009765625,8193416,89,93,90,87,59,83
53,2017-03-17,519.2408260808652,520.0452270507812,516.0232222012006,520.0452270507812,13482902,80,90,90,84,44,82
54,2017-03-20,520.0451502160777,524.0671544714224,518.8385489394742,522.05615234375,5829744,89,79,79,96,55,86
55,2017-03-21,522.8605449430881,524.4693466198362,516.0231378169093,518.4363403320312,7591126,88,95,92,88,89,79
56,2017-03-22,517.2297390744703,518.4363403320312,511.1967327866655,518.4363403320312,13406368,91,90,78,100,62,74
57,2017-03-23,518.8384546740302,524.9189364918004,514.8164511494253,524.8714599609375,9632348,93,90,86,92,67,79
58,2017-03-24,524.871603248678,528.4914074090136,521.2517990883422,525.2738037109375,9590719,79,78,85,84,46,76
59,2017-03-27,523.6648566235618,524.4692573249805,513.6098478558283,515.620849609375,14808463,91,96,84,89,100,79
60,2017-03-28,518.4362907438989,524.0670960739335,517.6318899824654,523.2626953125,9740353,89,92,93,97,59,82
61,2017-03-29,524.8716140805984,527.2848169039576,518.8386070222008,520.849609375,7136529,89,86,90,94,66,88
62,2017-03-30,521.2517622853054,527.0836685763061,519.2407601159948,526.882568359375,8063393,87,87,84,91,67,86
63,2017-03-31,526.882524661053,527.2847250615575,516.8275146484375,516.8275146484375,12996170,77,78,72,88,36,74
64,2017-04-03,520.8494732473779,520.8494732473779,508.8719345813016,510.7944641113281,10617811,79,60,80,79,53,88
65,2017-04-04,510.79454527712727,516.8275517174083,510.5934450624512,515.21875,6452515,83,63,92,96,100,94
66,2017-04-05,517.6318919064022,518.8384930530372,509.9900846443807,511.1966857910156,7977926,79,64,85,89,70,89
67,2017-04-06,507.1747094765071,513.2077155368937,506.3703086684556,509.9901123046875,6934884,85,63,85,86,46,80
