,Date,Open,High,Low,Close,Volume,homes,site,property,building,Barratt Developments,developments
0,2017-01-03,387.6649169921875,389.9992331972205,384.83038290260777,387.6649169921875,3131981,89,90,89,81,51,65
1,2017-01-04,391.5832761505756,403.5883786414996,390.6570296208187,403.421630859375,6276251,89,90,96,87,0,85
2,2017-01-05,404.58873243145086,415.8968968144165,403.2548521295377,414.7597351074219,5589014,86,89,98,87,26,81
3,2017-01-06,415.0932357715144,416.1770453993557,404.5887622459805,411.7584838867188,3149204,82,87,84,78,27,71
4,2017-01-09,410.0911556105481,414.7514688581769,407.6734653014829,413.0924377441406,4253368,87,93,92,97,25,81
5,2017-01-10,412.75892760965394,423.0966535639716,412.75892760965394,422.6798095703125,6237660,80,92,95,92,0,83
6,2017-01-11,425.1809272080839,428.51567957834334,417.1250038509836,417.677734375,4390266,80,94,93,90,0,79
7,2017-01-12,414.0094471658192,417.2608251303554,407.8401613332384,415.1766052246094,4338754,83,93,91,91,100,78
8,2017-01-13,421.4292897956316,431.4335459332133,416.7606318429989,430.1830139160156,9566767,80,88,87,82,51,62
9,2017-01-16,428.5155857116218,429.8494660138248,420.2662530018871,423.5134582519531,5962867,92,92,90,84,25,85
10,2017-01-17,424.7640584407521,436.8525350793996,413.8427399753391,434.3514709472656,9027721,85,98,97,93,48,89
11,2017-01-18,436.01885643633153,436.01885643633153,422.6798474440154,430.5998840332031,8887765,84,100,94,94,48,66
12,2017-01-19,429.3493579898461,430.1830460636128,416.59394063807207,421.4293212890625,5023348,84,93,96,100,0,81
13,2017-01-20,421.4292340501385,426.0903859551954,411.8418231864855,412.342041015625,4897769,81,94,83,92,25,60
14,2017-01-23,412.7588934053207,417.2608030753488,402.3377944274149,405.50579833984375,7889965,93,93,98,94,48,79
15,2017-01-24,408.0902361188616,408.0902361188616,395.6582924617188,399.75335693359375,8764569,89,98,100,91,24,100
16,2017-01-25,402.587930794726,408.0902766924907,392.0001084420427,396.0851745605469,6396083,85,95,94,97,0,77
17,2017-01-26,397.669212324541,398.0026824665736,392.6337292207829,392.7504577636719,6007015,83,96,94,94,0,59
18,2017-01-27,394.50119434930974,396.1610650133756,391.1664421585029,393.9176025390625,2823885,82,97,92,87,0,78
19,2017-01-30,392.66703553636177,394.91800324176927,389.2489097564287,394.25103759765625,2867829,89,94,98,92,0,61
20,2017-01-31,394.50118101178776,400.3369971483992,393.083901201755,398.2527770996094,9033866,87,96,100,96,48,87
21,2017-02-01,401.4207927470305,409.3408291563696,398.0026666819403,408.5071411132813,5025844,85,97,90,93,0,62
22,2017-02-02,410.0077125036609,413.4258380943048,405.03059455957714,411.0081481933594,4835016,87,98,98,88,0,96
23,2017-02-03,412.59216730187234,420.1787328444354,410.50794739689,418.0945129394531,13028134,88,95,87,82,21,66
24,2017-02-06,416.67727331716,418.5113971868668,408.9239847015102,411.425048828125,3995878,85,95,94,89,20,83
25,2017-02-07,413.0089938156947,425.18084263444126,412.9756391748271,413.7593078613281,7073716,87,98,94,93,0,100
26,2017-02-08,414.09285904539047,425.1808997844828,414.05950440003954,423.0966796875,5296323,86,93,98,92,20,67
27,2017-02-09,422.2629916487069,425.1808997844828,415.7602351229767,423.0966796875,3868020,84,95,91,87,0,74
28,2017-02-10,424.3472334450091,428.0988298114188,421.846169200736,423.9303894042969,6169641,80,93,86,83,21,65
29,2017-02-13,423.0966574307658,428.5156293978593,421.4292814408908,428.0987854003906,2443726,85,94,89,85,20,73
30,2017-02-14,427.2651405963472,430.18304887359056,422.6798561606791,429.7662048339844,3470187,79,100,87,87,0,72
31,2017-02-15,429.7661739636019,434.6916194718353,428.51564193460985,432.68408203125,4875791,82,95,94,91,41,70
32,2017-02-16,431.85041168626094,435.6020079267786,429.3493475259158,431.0167236328125,3715629,88,96,94,90,20,65
33,2017-02-17,431.8504112163034,433.93463134765625,426.43143887478607,433.93463134765625,4074657,83,94,88,85,0,65
34,2017-02-20,429.34930858853033,432.18132385310327,426.8482446550049,428.9324645996094,3787869,99,97,94,88,20,80
35,2017-02-21,427.6819326328467,433.3443348651609,427.6819326328467,428.9324645996094,4562077,93,95,99,97,60,88
36,2017-02-22,443.5220444345383,445.189420541435,429.76619155264,431.0167236328125,7658853,88,94,94,95,100,71
37,2017-02-23,431.8504481741444,432.2672922360885,424.2422044529626,424.76409912109375,4185776,84,90,90,95,20,66
38,2017-02-24,425.5977214155782,435.082601539134,420.332979692177,428.0987854003906,3435987,83,93,88,86,21,67
39,2017-02-27,431.8503906010176,433.1009226201325,420.59560242898334,424.3471984863281,4600451,92,86,100,96,0,85
40,2017-02-28,426.4313964843749,427.26508445404136,420.59558069671,426.431396484375,7217518,90,91,99,100,0,90
41,2017-03-01,428.09875890742666,439.3535461425781,423.9303191907039,439.3535461425781,5359548,79,91,94,95,0,74
42,2017-03-02,437.26936543395766,441.8546495328838,432.26723732603824,438.5198974609375,6980373,80,96,92,98,58,71
43,2017-03-03,436.01883817358487,437.2693702142357,433.100930078733,435.1851501464844,4950200,80,92,87,86,91,77
44,2017-03-06,435.1851279518821,442.2222707255489,433.5177519827178,440.187255859375,3742515,86,100,91,99,0,86
45,2017-03-07,441.0209220292672,446.0230496893345,438.93670217090585,439.3535461425781,5309837,86,94,94,96,85,91
46,2017-03-08,439.77044677734375,446.4399511834456,436.0188505489114,439.77044677734375,6794404,80,91,100,90,0,59
47,2017-03-09,440.18728116246496,447.690473455007,436.8525290324463,446.43994140625,4046750,84,96,91,90,29,70
48,2017-03-10,448.5241482129088,449.3578362207394,443.93886416984,447.6904602050781,4163225,85,94,82,89,31,67
49,2017-03-13,451.0252211271827,454.3599732242413,443.9388729209331,446.8567810058594,3198358,87,97,92,92,0,74
50,2017-03-14,447.6904472564983,447.6904472564983,442.2714753623321,446.0230712890625,3040632,85,92,90,90,0,68
51,2017-03-15,446.8567155619724,448.10724741522415,440.3372700609072,444.3556518554688,6171459,81,97,92,91,60,100
52,2017-03-16,447.6904516692915,447.6904516692915,440.1872597418732,445.6062316894531,3041387,77,96,93,91,30,90
