,Date,Open,High,Low,Close,Volume,spill,BP,gas,British Petroleum,oil,petroleum
0,2017-01-03,384.1084803472809,390.9487500019029,383.5071455225185,388.8440551757813,30062704,68,97,98,69,94,82
1,2017-01-04,389.2198921172168,390.3789767966555,387.2655424823717,390.347412109375,51985767,61,90,98,52,98,98
2,2017-01-05,388.2427203510188,390.9976110371033,385.3863455242175,388.8440551757813,24830093,60,91,100,70,98,92
3,2017-01-06,388.9191782776669,389.14467306009726,385.7621136869479,386.7392883300781,17355531,69,74,94,0,95,72
4,2017-01-09,386.7393203037043,388.5433704700927,379.6968400988351,385.9876403808594,22575964,51,97,95,84,92,87
5,2017-01-10,383.7326184296109,385.0856331777739,382.2292585141178,384.6346435546875,24385862,66,92,93,100,92,96
6,2017-01-11,382.0789110251205,387.49101586379015,380.8010688683871,385.8373107910156,19913918,85,83,93,66,95,100
7,2017-01-12,384.8601934982522,388.54344417040505,381.8752657189127,387.4159240722656,23620003,72,95,93,34,97,94
8,2017-01-13,387.7165644731495,391.7756551351132,387.1152296029463,389.3702697753906,28300981,86,86,87,86,90,72
9,2017-01-16,388.8440316744345,389.1447220080954,384.93528673136,385.3111267089844,19326432,70,100,90,17,98,86
10,2017-01-17,384.18367680818943,385.3111739398177,377.3433837890625,377.3433837890625,32334856,75,90,97,16,94,81
11,2017-01-18,378.170193542509,381.0265682228752,376.6668336182211,379.6735534667969,27657038,74,90,90,49,94,85
12,2017-01-19,379.29774563900753,379.65479823918383,360.8064124148554,375.2010803222656,28425393,78,90,94,33,94,75
13,2017-01-20,375.6520788542121,378.7715462568067,373.699977278135,374.5997314453125,27490489,59,88,91,34,89,82
14,2017-01-23,371.3674956264383,374.5997333970924,364.60237561182447,366.180908203125,28404349,77,93,94,49,95,86
15,2017-01-24,367.30843949551934,371.1179487224039,364.4219909532977,368.09771728515625,25028032,73,93,94,65,94,93
16,2017-01-25,368.849392264847,371.4050997260755,366.7070996357828,366.857421875,21598417,73,94,94,33,100,84
17,2017-01-26,368.06011861284367,368.6990512201782,364.7527311000845,364.865478515625,27240802,89,92,91,33,92,83
18,2017-01-27,366.6694961648577,366.9325887537103,361.8211739108028,365.9178161621094,22529929,87,94,90,0,93,79
19,2017-01-30,362.8359709805045,363.7003984540916,356.82253055283144,357.8372802734375,27283839,73,100,97,49,93,83
20,2017-01-31,357.83727767312035,361.14468823587015,355.39431751713056,355.4319152832031,39307342,87,99,98,98,95,84
21,2017-02-01,358.964759163919,360.05470429214995,354.3419319534864,355.4694519042969,27816050,69,85,92,33,93,81
22,2017-02-02,354.90574554151965,357.95006363225883,353.6977996890874,355.3191833496094,30916760,100,87,99,34,97,87
23,2017-02-03,356.8976307493219,361.1446408143979,355.657363420876,359.7540283203125,26158923,93,85,97,24,98,77
24,2017-02-06,360.0922429421356,363.0238128713176,357.5365358982524,358.2130432128906,25355109,65,91,93,100,93,77
25,2017-02-07,348.77954431668365,351.9741845394119,342.95402391053216,343.59295654296875,56714531,72,93,95,33,95,100
26,2017-02-08,344.6076543124782,345.3969090202048,338.9700551445749,342.7284545898437,43741797,70,87,96,22,90,83
27,2017-02-09,345.7727679954908,348.29090035030475,342.14365508921173,344.79559326171875,36555284,58,91,95,46,91,96
28,2017-02-10,345.7727437792381,348.7794632903619,342.95394423755954,345.4720764160156,49022997,71,87,91,70,91,81
29,2017-02-13,347.0130109896868,347.6519434736905,341.8437207657321,345.4720764160156,23024970,90,87,95,55,92,86
30,2017-02-14,346.0358746935217,347.91507459634363,344.6076873552674,345.3969421386719,25636370,84,91,93,23,87,86
31,2017-02-15,348.5164355563686,348.5164355563686,343.9311828613281,343.9311828613281,26671993,77,89,95,23,90,91
32,2017-02-16,345.7745914432634,347.87923985441984,343.13422835918107,343.1724853515625,28226174,78,90,98,11,96,86
33,2017-02-17,343.6699918030674,343.8996038576922,337.3560456735721,341.33575439453125,32799166,72,86,93,45,98,74
34,2017-02-20,342.33064772328095,344.35878230612474,340.3408168476077,340.7234802246094,26702119,69,100,96,46,100,74
35,2017-02-21,342.2923162652873,349.52466185965284,340.72340610325085,345.0092163085937,45845334,68,88,97,44,98,80
36,2017-02-22,345.9277369399834,347.45839064325764,340.95311240434205,342.6368408203125,33452253,72,89,98,67,96,98
37,2017-02-23,343.51690842501523,346.99913571421735,342.7362602103702,344.7031555175781,35098875,71,89,90,11,95,88
38,2017-02-24,344.358829038363,345.37287311147975,339.3459241057992,342.1776428222656,29570668,59,86,100,47,97,68
39,2017-02-27,344.39696251751974,347.1903998756457,342.7032850724568,345.5449523925781,31786373,67,93,98,33,100,98
40,2017-02-28,347.4583590309897,348.7173131792593,344.39705190296337,347.11395263671875,47559258,66,92,98,22,99,89
41,2017-03-01,351.2467396065894,361.6934456187186,348.64460983589987,355.5708312988281,51245511,100,97,99,35,92,95
42,2017-03-02,355.80034194967726,357.9815274938855,354.39137302250265,355.7620849609375,39339235,68,93,98,12,93,83
43,2017-03-03,354.805488799478,357.0249317209863,353.404927756499,355.1498718261719,21062124,97,90,95,61,93,73
44,2017-03-06,354.04018595668106,354.3463120086145,350.1370145657476,354.1932373046875,21837003,99,87,99,11,98,80
45,2017-03-07,353.8488252458845,356.5274688535658,353.08349850083266,354.3462829589844,32538606,97,98,99,23,96,98
46,2017-03-08,355.1880737425224,355.1880737425224,352.1650243811269,352.5859680175781,25813112,93,85,95,48,97,84
47,2017-03-09,348.95070935780024,349.9930839230704,342.86635290473566,347.45831298828125,62197511,96,95,93,59,100,81
48,2017-03-10,349.60125809339974,363.1858082181477,348.8359313258083,360.23931884765625,106615502,83,99,95,98,97,83
49,2017-03-13,356.6805167095705,360.4191452965719,353.5426957702029,354.7289428710937,51641816,92,94,100,100,98,89
50,2017-03-14,354.11667452433454,357.1779813337745,348.8741819419851,349.7543029785156,33322114,73,96,93,70,95,88
51,2017-03-15,352.050302924516,354.9202782200963,349.1037902832031,349.1037902832031,43320401,99,97,94,36,97,100
52,2017-03-16,352.3181824757311,355.7238725812849,349.1038007063423,351.476318359375,51146076,98,92,95,12,92,86
53,2017-03-17,349.9073971800514,354.6906893366252,349.52473380752554,354.3462829589844,61210423,74,93,86,63,93,67
54,2017-03-20,352.96868822113896,353.16001989876185,349.63951235931654,352.89215087890625,65641813,80,100,95,48,98,97
55,2017-03-21,353.6957382915136,355.64733543728306,349.18031532344605,350.7875061035156,32227351,91,95,94,36,96,79
56,2017-03-22,350.5961364985307,350.75913743208633,346.4633773367785,348.03228759765625,35002051,96,94,93,35,95,79
57,2017-03-23,348.4532728445033,349.4834090409847,344.8371225014926,349.4482116699219,30776510,100,95,93,36,93,83
58,2017-03-24,346.7695857682109,349.79261268454854,344.3205306092226,345.8129272460937,23814348,88,94,91,25,93,78
59,2017-03-27,343.1725498940622,344.58840921722174,340.18777989351486,342.7898864746094,28846589,95,95,94,12,98,78
60,2017-03-28,343.47862657677746,347.3879168158029,341.94797311902727,347.03741455078125,28458033,84,90,97,60,98,80
61,2017-03-29,348.3001913498244,353.08348330047585,346.6547435899837,352.9686889648437,30722265,90,96,95,24,97,80
62,2017-03-30,354.15494390721653,356.64225577690524,347.3412284531923,353.3130798339844,37466788,94,93,97,36,92,79
63,2017-03-31,352.47124281480563,354.9585548754088,350.137005454146,350.1752624511719,38296748,69,90,95,74,91,82
64,2017-04-03,352.3180981924034,355.11153555739406,349.0654602050781,349.0654602050781,27590507,97,89,67,32,91,80
65,2017-04-04,353.9635984493529,355.3411771658159,350.44309096115967,354.8437194824219,29089426,82,87,74,0,97,92
66,2017-04-05,356.79532549777696,360.9740028410212,355.9534614362653,356.0299987792969,35248334,73,95,80,48,90,69
67,2017-04-06,353.04522618341707,357.45351580911813,350.2900685232732,355.4560241699219,34333851,89,86,77,65,92,72
68,2017-04-07,356.8336031950555,360.17041667039217,355.4177440125347,360.0097045898437,33210865,74,87,100,34,93,86
69,2017-04-10,360.0479443000595,360.58365896005694,351.35153223015385,359.4356689453125,17056013,78,100,73,83,99,100
70,2017-04-11,358.1729272327916,363.4536772579886,356.98668008539266,360.23931884765625,29058516,83,89,71,16,97,92
71,2017-04-12,362.7649030412946,364.601682689307,360.3923852911485,361.6169128417969,26774007,100,83,72,100,98,94
72,2017-04-13,361.3489938424531,363.5301795911837,355.7238379712798,360.54541015625,32372652,95,87,66,52,97,81
73,2017-04-18,356.29786954438384,357.06319631677513,346.38690185546875,346.38690185546875,56252880,81,84,64,32,89,95
74,2017-04-19,342.8664230984952,345.3499049485,341.0411111177032,342.7133483886719,47662380,77,85,64,64,93,76
75,2017-04-20,341.1826889636446,348.2237050902556,339.4132677329389,341.8332214355469,34904988,80,84,66,65,92,86
76,2017-04-21,340.76179023209335,344.4200517511061,337.432613663077,337.8152770996094,40137602,67,89,63,34,95,88
77,2017-04-24,342.82815561102547,346.195588920826,340.72350687291004,343.861328125,27472265,78,91,67,49,99,84
78,2017-04-25,344.97098802365923,345.1623196864566,342.9773036891809,343.822998046875,30660415,96,90,65,81,94,82
79,2017-04-26,344.24394767591235,348.0208331526706,341.680121860844,347.1904602050781,32183104,88,86,66,16,91,74
80,2017-04-27,344.5117696573045,347.19041279881225,337.5855731623432,338.7718200683594,29001118,85,88,64,65,92,79
81,2017-04-28,341.6801854443121,347.1331393131134,338.58059765270326,338.6571350097656,32770927,84,81,58,0,86,90
82,2017-05-02,345.1623034200661,348.7210675092009,342.942860907395,344.0908508300781,44147617,75,98,93,39,94,87
83,2017-05-03,343.8996132037256,344.2439962611413,340.87656290507914,341.8332214355469,33244205,73,85,96,38,92,79
84,2017-05-04,343.63174036785483,346.84612233727216,337.99586323164306,340.4173583984375,42779171,56,93,96,39,92,82
85,2017-05-05,336.74374369372697,345.46846329097195,334.9666620324038,345.4302062988281,40751334,74,89,91,60,93,77
86,2017-05-08,346.69300129779447,349.29510745312854,344.85622185614204,347.802734375,33763550,79,93,95,97,97,88
87,2017-05-09,349.75429629913344,351.0170806627281,348.1088485916667,348.7976379394531,23046590,100,99,92,38,92,93
88,2017-05-10,349.5247023874068,354.4648758060208,348.7593757111531,352.47119140625,34584337,75,99,89,19,90,79
89,2017-05-11,354.0329710063754,359.6377242635321,352.90425214269857,354.9281921386719,75351701,96,93,90,0,88,86
90,2017-05-12,354.61684908776584,358.0809020996094,354.110869955565,358.0809020996094,65810290,89,88,89,20,89,77
91,2017-05-15,360.41614733533953,364.7948532289924,356.61815685819244,361.3502807617188,39886461,62,99,95,0,94,84
92,2017-05-16,361.11679187666704,367.3832217647903,356.244554325708,365.2814331054688,59379958,76,92,91,61,91,93
93,2017-05-17,363.45210906944175,367.4999896188927,362.79043308939634,366.2544860839844,40748120,80,91,93,82,91,90
94,2017-05-18,364.7754525722586,365.9820199885995,358.8593287356118,365.0868225097656,40513572,69,97,91,0,88,70
95,2017-05-19,366.68262472856776,370.1077654627341,365.2814480689576,367.5389099121094,39719662,65,95,92,43,89,80
96,2017-05-22,368.5508756330353,372.0927532166924,367.6556543976902,368.9400939941406,34686475,63,92,97,21,91,66
97,2017-05-23,369.2903447315356,371.2364363708839,368.2783865814751,369.173583984375,27894341,73,91,96,40,89,67
98,2017-05-24,369.9131324819271,373.1747841830896,369.1346957753203,372.4819641113281,32102780,90,100,90,63,88,72
99,2017-05-25,371.4700071240815,372.0927469890259,366.8772115351048,368.2784118652344,29507119,77,95,86,84,92,100
100,2017-05-26,366.02095429140337,370.3023562402326,365.10938893062746,369.4071350097656,29908672,61,91,93,89,91,69
101,2017-05-30,368.5118970847221,370.9250553967405,366.6825662470952,367.49993896484375,28652931,76,96,100,82,94,94
102,2017-05-31,367.4220913780096,369.2124861344428,363.1150096526278,363.29638671875,90237205,60,100,97,100,95,93
103,2017-06-01,366.2934261470637,367.3443205765706,363.29646347670007,365.86529541015625,28436366,76,84,100,0,90,90
104,2017-06-02,365.4760049730298,366.371202363936,359.76850691947305,360.2215576171875,44097970,75,91,97,100,88,82
105,2017-06-05,361.97307541304446,365.4760406589771,360.6886595740698,361.2335510253906,29041814,74,86,100,63,98,89
106,2017-06-06,360.41617771694246,362.7514877237477,356.9910611248285,361.8952026367188,33077466,88,95,99,46,91,93
107,2017-06-07,364.9700820579472,365.08684282150784,355.3952955938868,355.58990478515625,46155219,67,89,99,77,92,94
108,2017-06-08,354.53900522566033,357.88627353994605,353.2156533306156,355.2395935058594,34929381,64,95,94,62,89,81
109,2017-06-09,358.0808526655911,364.541867243896,357.4581128590078,364.1526489257813,31239561,74,85,93,82,94,82
110,2017-06-12,367.1496233575312,369.87415149996855,361.3502848508005,366.5657958984375,27923013,77,92,96,78,94,86
111,2017-06-13,368.9790113187339,369.1347081676834,364.54191243971474,365.9820251464844,19478634,100,86,98,46,90,96
112,2017-06-14,365.9430974485412,366.4490765523785,359.20962474423874,359.3263854980469,33181310,80,84,95,31,90,100
113,2017-06-15,358.47015901316234,363.5299983911983,354.8893448559663,358.8204650878906,37046634,74,83,96,97,90,87
114,2017-06-16,360.49403605825336,364.7365017671296,359.6766632797708,363.2574768066406,65404112,74,83,94,82,92,87
115,2017-06-19,365.6316962531612,369.5238794206166,364.5753381665691,367.9280700683594,1420378,71,100,97,62,95,93
116,2017-06-20,367.69457076239615,370.2478421240365,357.6138062481503,358.2754821777344,4126758,75,97,96,15,97,94
117,2017-06-21,358.4311613334618,358.8982043138898,353.5269962349579,355.51202392578125,6899891,80,84,94,30,97,99
118,2017-06-22,354.61680037138416,356.71858879302323,350.3353988692311,355.5509338378906,18779305,65,88,95,45,96,88
119,2017-06-23,353.05995648790343,355.65216400744345,350.64682171788496,355.2395935058594,4773544,62,91,96,0,91,92
120,2017-06-26,356.2126519058993,358.3922652444794,355.473127511022,356.2943725585937,1948824,81,96,100,16,100,72
121,2017-06-27,356.1736888465727,359.7934383667774,354.96712151050576,358.2451171875,1780601,62,95,95,16,93,89
122,2017-06-28,356.4072384797944,359.6143937985497,352.5929035012359,354.4222106933594,2019771,75,92,93,16,91,86
123,2017-06-29,354.81146103721403,356.516239419664,350.2186889648437,350.2186889648437,3249045,71,100,98,32,90,92
124,2017-06-30,347.1827794843025,349.40132890261145,342.8624651612827,344.6917724609375,4739449,59,98,92,33,88,77
125,2017-07-03,345.62592332074536,352.6707665346785,344.925334984134,351.3085021972656,24306979,90,88,100,74,93,67
