,Date,Open,High,Low,Close,Volume,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
0,2017-01-03,2352.260986328125,2352.260986328125,2330.14306640625,2349.85693359375,393,37,38,87,26,83,59
1,2017-01-04,2354.875,2354.875,2354.875,2354.875,48,38,31,86,0,79,63
2,2017-01-05,2354.875,2354.875,2354.875,2354.875,0,41,31,87,26,82,63
3,2017-01-06,2352.875,2352.875,2352.875,2352.875,16,58,53,87,54,90,70
4,2017-01-09,2373.68798828125,2373.68798828125,2350.635009765625,2350.635009765625,206,33,30,84,100,76,55
5,2017-01-10,2376.7451171875,2381.821044921875,2376.7451171875,2381.821044921875,1080,31,30,83,25,79,55
6,2017-01-11,2381.821044921875,2381.821044921875,2381.821044921875,2381.821044921875,0,29,27,83,99,80,56
7,2017-01-12,2683.75,2759.843994140625,2500.876953125,2623.929931640625,4475,39,36,86,0,79,60
8,2017-01-13,2899.845947265625,2899.845947265625,2899.845947265625,2899.845947265625,26,59,54,85,26,84,71
9,2017-01-16,2985.14990234375,2985.14990234375,2985.14990234375,2985.14990234375,20,36,29,85,0,83,63
10,2017-01-17,2951.75,2999.83203125,2951.75,2999.83203125,2891,34,26,88,0,76,58
11,2017-01-18,3026.25,3026.25,2887.75,2977.37890625,199,38,28,84,24,77,56
12,2017-01-19,2971.56298828125,2979.35009765625,2963.0,2979.35009765625,6160,43,32,87,98,75,61
13,2017-01-20,2985.324951171875,2989.739990234375,2985.324951171875,2989.739990234375,5484,59,46,85,51,81,70
14,2017-01-23,2990.9951171875,2999.157958984375,2990.993896484375,2999.157958984375,5742,28,26,86,49,79,58
15,2017-01-24,2988.81689453125,2988.8330078125,2974.823974609375,2974.823974609375,2377,28,29,84,48,77,56
16,2017-01-25,2996.4970703125,2998.69091796875,2996.4970703125,2997.837890625,3228,42,29,85,49,79,56
17,2017-01-26,3012.84912109375,3095.330078125,3012.84912109375,3095.330078125,915,40,37,86,25,78,61
18,2017-01-27,3038.822021484375,3038.822021484375,3038.822021484375,3038.822021484375,45,65,56,88,26,86,71
19,2017-01-30,3051.52490234375,3071.194091796875,3017.343017578125,3017.343017578125,2142,38,31,85,97,78,55
20,2017-01-31,3036.30810546875,3036.31005859375,3022.510986328125,3029.3359375,5947,38,35,88,49,81,57
21,2017-02-01,3075.302978515625,3085.486083984375,3054.27587890625,3085.486083984375,3179,23,42,91,0,62,56
22,2017-02-02,3066.81005859375,3066.81005859375,3066.0439453125,3066.0439453125,1014,19,41,93,44,66,57
23,2017-02-03,3071.388916015625,3089.3330078125,3071.388916015625,3089.3330078125,180,34,66,93,15,65,65
24,2017-02-06,3053.1650390625,3053.1650390625,3053.1650390625,3053.1650390625,133,19,36,83,100,62,49
25,2017-02-07,3095.0,3130.174072265625,3095.0,3130.174072265625,20195,20,36,91,29,66,55
26,2017-02-08,3103.8291015625,3111.177001953125,3103.820068359375,3111.177001953125,432,18,32,89,58,65,56
27,2017-02-09,3111.177001953125,3111.177001953125,3111.177001953125,3111.177001953125,0,23,43,87,29,66,59
28,2017-02-10,3172.826904296875,3172.826904296875,3172.826904296875,3172.826904296875,81,36,62,90,30,75,68
29,2017-02-13,3201.1201171875,3201.1201171875,3176.325927734375,3176.325927734375,5852,21,36,88,0,88,66
