,Date,Open,High,Low,Close,Volume,Legal & General,assurance,insurance,business,pensions,investment
0,2017-01-03,179.48065185546875,180.99434849948256,179.04816395757217,179.48065185546875,15077668,30,87,95,83,87,77
1,2017-01-04,179.69692906626025,181.78726196289065,179.33652608417734,181.78726196289065,14391239,60,85,99,89,95,83
2,2017-01-05,181.35480196885032,181.72096826533647,177.39036879463848,178.32740783691406,14486260,15,85,96,90,75,89
3,2017-01-06,177.75075954443167,179.94920899042992,177.24618655817656,179.91317749023438,13498874,79,83,85,78,71,82
4,2017-01-09,179.9131489690536,180.4897848642872,176.88575552595378,179.3365020751953,11568808,59,89,90,88,74,87
5,2017-01-10,179.1202722477634,179.76899318039764,176.30913354151434,179.04818725585938,17825075,73,93,90,92,96,89
6,2017-01-11,178.90403057560843,179.48067752239348,176.49005220714096,177.75074768066406,14826735,29,86,89,92,65,90
7,2017-01-12,177.8228297992704,178.111158785149,176.02081488237746,177.31826782226562,11187124,0,87,90,94,90,93
8,2017-01-13,178.18321073928658,179.48066351866453,176.80863560252297,179.26441955566406,9562808,15,73,88,80,74,78
9,2017-01-16,178.6877947596538,178.7815030548926,176.02081488237746,177.31826782226562,13542104,15,83,87,88,85,84
10,2017-01-17,176.6695300859928,178.1464584680829,175.08374831071407,176.52536010742188,11930053,72,82,95,96,87,93
11,2017-01-18,176.81368657040633,176.99748459282736,173.570060073594,174.7233428955078,14346798,57,86,92,98,100,95
12,2017-01-19,174.65126798908938,175.7324768156847,172.34469135874434,173.71421813964844,12844625,14,84,89,95,96,98
13,2017-01-20,173.93049045026584,174.57921145249554,171.9122314453125,171.9122314453125,12119573,30,68,85,82,94,89
14,2017-01-23,170.9751627050596,172.53931023785262,169.60563585105663,171.6959686279297,8913623,71,80,97,92,78,89
15,2017-01-24,172.63301691981383,173.4259078270377,170.61475815484667,172.7771759033203,12025389,57,100,92,95,90,100
16,2017-01-25,171.98428531793547,174.79542381698553,171.98428531793547,174.00253295898438,11961000,86,84,88,93,92,89
17,2017-01-26,174.72333843054057,176.59743809136822,174.50710546851212,175.3720703125,13364639,72,77,87,86,86,82
18,2017-01-27,176.16497515295876,176.38121914427862,174.5071302163011,175.7324981689453,11284401,46,72,94,85,82,89
19,2017-01-30,174.50712961117574,174.7377818021245,172.20054170993058,172.84927368164062,17627634,99,85,96,95,88,88
20,2017-01-31,172.05637121929476,172.63301815607565,168.9569035578948,169.3173065185547,23208526,100,81,100,100,99,98
21,2017-02-01,170.25434582319326,171.19139566233312,168.3081721564412,169.82186889648438,17513279,100,88,91,95,83,90
22,2017-02-02,169.10108760959824,170.1433724426175,167.8036346435547,167.8036346435547,14620604,45,86,89,96,84,84
23,2017-02-03,168.30818959246795,172.02033584141674,166.93866268474193,171.6239013671875,14235182,61,81,83,85,78,83
24,2017-02-06,171.1914042585423,172.56093109316046,169.60563345039876,169.89395141601562,11911723,0,96,90,90,74,89
