,Date,Open,High,Low,Close,Volume,Pearson,education,Edexcel,publisher,penguin,books
0,2017-01-03,698.9325067856732,704.0528914507697,695.5189170089423,696.372314453125,2289306,58,72,72,67,61,99
1,2017-01-04,697.2256973038858,698.688411325244,684.4247359090776,686.1315307617188,3337718,71,76,83,89,65,100
2,2017-01-05,687.838353515625,695.9456293945312,686.5582573242187,693.3854370117188,3200061,76,79,85,86,67,99
3,2017-01-06,692.9586734595882,695.5188656029119,689.5450839351568,694.23876953125,1244707,66,70,74,71,73,92
4,2017-01-09,695.9455452314876,701.0659293778873,694.3471440646931,698.5057373046875,1714753,80,87,99,79,64,96
5,2017-01-10,698.5057373046875,702.7727240933539,695.518846552621,698.5057373046875,2003129,90,85,100,77,65,97
6,2017-01-11,697.6524086722696,700.2126009976726,689.9718316960613,696.7990112304688,2164036,81,89,98,80,65,92
7,2017-01-12,699.3591557464036,699.3591557464036,691.7485324621227,693.8120727539062,2792945,88,84,83,87,71,97
8,2017-01-13,699.3592016063676,700.2125990457896,693.2770259713656,697.2257080078125,2317332,80,72,55,77,70,91
9,2017-01-16,695.0921152211293,697.2256085152396,685.704744727044,692.105224609375,3503472,64,72,96,75,57,92
10,2017-01-17,692.105297201931,692.105297201931,685.2781179446986,689.5451049804688,3403445,87,84,87,86,65,96
11,2017-01-18,554.7082684635076,562.8155431564358,479.1826042188608,488.9966735839844,28186300,100,99,73,96,65,96
12,2017-01-19,483.0228358603375,506.91795848240366,471.0752745493044,502.2242736816406,16724877,93,100,72,86,70,95
13,2017-01-20,499.237533077117,504.3579180317541,489.89537239266986,502.651123046875,9219787,83,85,53,80,77,91
14,2017-01-23,498.810820734853,511.18508403794175,494.1171346543711,505.6380004882813,7856216,90,92,85,100,61,96
15,2017-01-24,506.064627097653,522.2791767011191,503.5044350550005,521.8524780273438,8711182,92,90,81,76,61,95
16,2017-01-25,521.8524780273438,522.2791767011191,516.7320939420387,521.8524780273438,6418182,86,90,75,96,59,91
17,2017-01-26,521.8524988793868,530.8131713867188,518.0122106619586,530.8131713867188,5398523,88,83,82,82,67,88
18,2017-01-27,532.9466611054623,536.3602506081395,518.01220703125,518.01220703125,7372406,74,80,44,84,65,88
19,2017-01-30,518.8656948678862,525.2661763012893,514.5987072456173,524.8394775390625,4114517,89,86,82,91,60,91
20,2017-01-31,523.9860037216655,529.9597855230526,521.6724446198222,528.2529907226562,4270225,89,97,67,96,100,96
21,2017-02-01,531.6665107996324,545.3208674172795,529.533017578125,544.040771484375,5765690,90,80,72,79,96,94
22,2017-02-02,544.4675103123785,552.1369918943911,542.7607156092049,548.7344970703125,5944741,90,85,92,84,87,94
23,2017-02-03,547.8810978247013,555.8475808256306,546.6010018017464,549.1611938476562,4051453,85,74,67,81,80,91
24,2017-02-06,547.0277593387581,553.8549388624867,546.4807390799828,549.5879516601562,3457691,85,76,100,74,71,91
